HG01123.1	HG01123#1#JAGYYZ010000032.1:4021882-4026248	c1_HG01123.1
HG01123.1	HG01123#1#JAGYYZ010000032.1:4035586-4044838	c2_HG01123.1
HG01123.2	HG01123#2#JAGYYY010000113.1:3974921-3979287	c1_HG01123.2
HG01123.2	HG01123#2#JAGYYY010000113.1:3988634-3997863	c2_HG01123.2
HG01175.1	HG01175#1#JAHAMA010000070.1:4346962-4351328	c1_HG01175.1
HG01175.1	HG01175#1#JAHAMA010000070.1:4328383-4337617	c2_HG01175.1
HG01175.2	HG01175#2#JAHALZ010000131.1:8723664-8728030	c1_HG01175.2
HG01175.2	HG01175#2#JAHALZ010000131.1:8705086-8714318	c2_HG01175.2
HG01243.1	HG01243#1#JAHEOY010000120.1:4024554-4028920	c1_HG01243.1
HG01243.1	HG01243#1#JAHEOY010000120.1:4038249-4047500	c2_HG01243.1
HG01243.2	HG01243#2#JAHEOX010000149.1:4439549-4443876	c1_HG01243.2
HG01258.1	HG01258#1#JAGYYV010000053.1:4047299-4051624	c1_HG01258.1
HG01258.1	HG01258#1#JAGYYV010000053.1:4060959-4070219	c2_HG01258.1
HG01258.2	HG01258#2#JAGYYU010000032.1:4024574-4028940	c1_HG01258.2
HG01258.2	HG01258#2#JAGYYU010000032.1:4038287-4047520	c2_HG01258.2
HG01358.1	HG01358#1#JAGYZB010000072.1:4011198-4015564	c1_HG01358.1
HG01358.1	HG01358#1#JAGYZB010000072.1:4024902-4034154	c2_HG01358.1
HG01358.2	HG01358#2#JAGYZA010000096.1:8719657-8724023	c1_HG01358.2
HG01358.2	HG01358#2#JAGYZA010000096.1:8701058-8710309	c2_HG01358.2
HG01361.1	HG01361#1#JAGYYX010000097.1:4338822-4343188	c1_HG01361.1
HG01361.1	HG01361#1#JAGYYX010000097.1:4320231-4329488	c2_HG01361.1
HG01361.2	HG01361#2#JAGYYW010000103.1:3992729-3997095	c1_HG01361.2
HG01361.2	HG01361#2#JAGYYW010000103.1:4006433-4015685	c2_HG01361.2
HG01891.1	HG01891#1#JAGYVO010000117.1:188978-193304	c1_HG01891.1
HG01891.2	HG01891#2#JAGYVN010000060.1:4345399-4349764	c1_HG01891.2
HG01891.2	HG01891#2#JAGYVN010000060.1:4326795-4336054	c2_HG01891.2
HG01928.1	HG01928#1#JAGYVQ010000024.1:8716374-8720740	c1_HG01928.1
HG01928.1	HG01928#1#JAGYVQ010000024.1:8697784-8707036	c2_HG01928.1
HG01928.2	HG01928#2#JAGYVP010000117.1:4021254-4025620	c1_HG01928.2
HG01928.2	HG01928#2#JAGYVP010000117.1:4034958-4044210	c2_HG01928.2
HG01952.1	HG01952#1#JAHAME010000072.1:4344692-4349058	c1_HG01952.1
HG01952.1	HG01952#1#JAHAME010000072.1:4326101-4335358	c2_HG01952.1
HG01952.2	HG01952#2#JAHAMD010000090.1:8714933-8719299	c1_HG01952.2
HG01952.2	HG01952#2#JAHAMD010000090.1:8696343-8705595	c2_HG01952.2
HG01978.1	HG01978#1#JAGYVS010000077.1:8709390-8713756	c1_HG01978.1
HG01978.1	HG01978#1#JAGYVS010000077.1:8690800-8700052	c2_HG01978.1
HG01978.2	HG01978#2#JAGYVR010000066.1:8714075-8718441	c1_HG01978.2
HG01978.2	HG01978#2#JAGYVR010000066.1:8695486-8704737	c2_HG01978.2
HG02055.1	HG02055#1#JAHEPK010000109.1:7677332-7681698	c1_HG02055.1
HG02055.1	HG02055#1#JAHEPK010000109.1:7658752-7668003	c2_HG02055.1
HG02055.2	HG02055#2#JAHEPJ010000047.1:8719102-8723469	c1_HG02055.2
HG02055.2	HG02055#2#JAHEPJ010000047.1:8700512-8709764	c2_HG02055.2
HG02080.1	HG02080#1#JAHEOW010000068.1:3993916-3998282	c1_HG02080.1
HG02080.1	HG02080#1#JAHEOW010000068.1:4007629-4016860	c2_HG02080.1
HG02080.2	HG02080#2#JAHEOV010000194.1:4340891-4345257	c1_HG02080.2
HG02080.2	HG02080#2#JAHEOV010000194.1:4322289-4331546	c2_HG02080.2
HG02109.1	HG02109#1#JAHEPG010000128.1:4022004-4026371	c1_HG02109.1
HG02109.1	HG02109#1#JAHEPG010000128.1:4035711-4044966	c2_HG02109.1
HG02109.2	HG02109#2#JAHEPF010000011.1:4348521-4352887	c1_HG02109.2
HG02109.2	HG02109#2#JAHEPF010000011.1:4329928-4339177	c2_HG02109.2
HG02145.1	HG02145#1#JAHKSG010000076.1:4022308-4026674	c1_HG02145.1
HG02145.1	HG02145#1#JAHKSG010000076.1:4036021-4045255	c2_HG02145.1
HG02145.2	HG02145#2#JAHKSF010000010.1:8699005-8703339	c1_HG02145.2
HG02148.1	HG02148#1#JAHAMG010000111.1:430644-435010	c1_HG02148.1
HG02148.1	HG02148#1#JAHAMG010000111.1:412068-421297	c2_HG02148.1
HG02148.2	HG02148#2#JAHAMF010000088.1:4021851-4026217	c1_HG02148.2
HG02148.2	HG02148#2#JAHAMF010000088.1:4035555-4044807	c2_HG02148.2
HG02257.1	HG02257#1#JAGYVI010000052.1:4346363-4350729	c1_HG02257.1
HG02257.1	HG02257#1#JAGYVI010000052.1:4327760-4337005	c2_HG02257.1
HG02257.2	HG02257#2#JAGYVH010000069.1:8720938-8725304	c1_HG02257.2
HG02257.2	HG02257#2#JAGYVH010000069.1:8702356-8711589	c2_HG02257.2
HG02486.1	HG02486#1#JAGYVM010000070.1:14423916-14428281	c1_HG02486.1
HG02486.1	HG02486#1#JAGYVM010000070.1:14437625-14446882	c2_HG02486.1
HG02486.2	HG02486#2#JAGYVL010000054.1:8717304-8721670	c1_HG02486.2
HG02486.2	HG02486#2#JAGYVL010000054.1:8698694-8707946	c2_HG02486.2
HG02559.1	HG02559#1#JAGYVK010000010.1:4030166-4034532	c1_HG02559.1
HG02559.1	HG02559#1#JAGYVK010000010.1:4043880-4053114	c2_HG02559.1
HG02559.2	HG02559#2#JAGYVJ010000048.1:8734601-8738968	c1_HG02559.2
HG02559.2	HG02559#2#JAGYVJ010000048.1:8716010-8725263	c2_HG02559.2
HG02572.1	HG02572#1#JAHAOW010000169.1:182089-186455	c1_HG02572.1
HG02572.1	HG02572#1#JAHAOW010000169.1:195785-205037	c2_HG02572.1
HG02572.2	HG02572#2#JAHAOV010000317.1:1301107-1305474	c1_HG02572.2
HG02572.2	HG02572#2#JAHAOV010000317.1:1282516-1291768	c2_HG02572.2
HG02622.1	HG02622#1#JAHAOO010000071.1:4402889-4407255	c1_HG02622.1
HG02622.1	HG02622#1#JAHAOO010000071.1:4384287-4393544	c2_HG02622.1
HG02622.2	HG02622#2#JAHAON010000008.1:8720085-8724451	c1_HG02622.2
HG02622.2	HG02622#2#JAHAON010000008.1:8701497-8710739	c2_HG02622.2
HG02630.1	HG02630#1#JAHAOQ010000071.1:8721560-8725926	c1_HG02630.1
HG02630.1	HG02630#1#JAHAOQ010000071.1:8702971-8712213	c2_HG02630.1
HG02630.2	HG02630#2#JAHAOP010000028.1:20502779-20507146	c1_HG02630.2
HG02630.2	HG02630#2#JAHAOP010000028.1:20516484-20525735	c2_HG02630.2
