HG03098.2	HG03098#2#JAHEPL010000065.1:4045854-4068798
HG03453.1	HG03453#1#JAGYVW010000042.1:7756302-7779250
HG03453.2	HG03453#2#JAGYVV010000144.1:4322890-4345860
HG03486.1	HG03486#1#JAHEOQ010000031.1:4385024-4407952
HG03486.2	HG03486#2#JAHEOP010000177.1:8701660-8724622
HG03492.1	HG03492#1#JAHEPI010000195.1:8690957-8713905
HG03492.2	HG03492#2#JAHEPH010000203.1:4024787-4047734
HG03516.1	HG03516#1#JAGYYT010000034.1:29270996-29293959
HG03516.2	HG03516#2#JAGYYS010000007.1:30070500-30093470
HG03540.1	HG03540#1#JAGYVY010000096.1:4036292-4059244
HG03540.2	HG03540#2#JAGYVX010000110.1:8695820-8718792
HG03579.1	HG03579#1#JAGYVU010000059.1:4024881-4047839
HG03579.2	HG03579#2#JAGYVT010000071.1:8693587-8716561
NA18906.1	NA18906#1#JAHEOO010000012.1:8694206-8717157
NA18906.2	NA18906#2#JAHEON010000027.1:8714523-8737490
NA20129.1	NA20129#1#JAHEPE010000126.1:4030465-4053422
NA20129.2	NA20129#2#JAHEPD010000035.1:4021536-4025863
NA21309.1	NA21309#1#JAHEPC010000206.1:4012502-4016829
NA21309.2	NA21309#2#JAHEPB010000112.1:4028441-4051405
